FREQ,REPORTER,PARTNER,PRODUCTCODE,INDICATOR,TIME_PERIOD,DATASOURCE,OBS_VALUE
A,IDN,MYS,25-26_Minerals,XPRT-TRD-VL,2010,WITS-CMT,18885.831
A,IDN,MYS,25-26_Minerals,XPRT-TRD-VL,2011,WITS-CMT,11226.897
A,IDN,MYS,25-26_Minerals,XPRT-TRD-VL,2012,WITS-CMT,2348.98
A,IDN,MYS,25-26_Minerals,XPRT-TRD-VL,2013,WITS-CMT,5428.528
A,IDN,MYS,25-26_Minerals,XPRT-TRD-VL,2014,WITS-CMT,968.519
A,IDN,MYS,25-26_Minerals,XPRT-TRD-VL,2015,WITS-CMT,6222.839
A,IDN,SGP,25-26_Minerals,XPRT-TRD-VL,2010,WITS-CMT,83954.462
A,IDN,SGP,25-26_Minerals,XPRT-TRD-VL,2011,WITS-CMT,46080.804
A,IDN,SGP,25-26_Minerals,XPRT-TRD-VL,2012,WITS-CMT,63513.413
A,IDN,SGP,25-26_Minerals,XPRT-TRD-VL,2013,WITS-CMT,91051.735
A,IDN,SGP,25-26_Minerals,XPRT-TRD-VL,2014,WITS-CMT,73719.119
A,IDN,SGP,25-26_Minerals,XPRT-TRD-VL,2015,WITS-CMT,65628.548
